node,direction,line
1,fr,1
26,to,1
1,fr,2
51,to,2
1,fr,3
76,to,3
1,fr,4
101,to,4
1,fr,5
126,to,5
26,fr,6
51,to,6
26,fr,7
76,to,7
26,fr,8
101,to,8
26,fr,9
126,to,9
51,fr,10
76,to,10
51,fr,11
101,to,11
51,fr,12
126,to,12
76,fr,13
101,to,13
76,fr,14
126,to,14
101,fr,15
126,to,15
2,fr,16
5,to,16
5,fr,17
6,to,17
1,fr,18
5,to,18
5,fr,19
9,to,19
8,fr,20
9,to,20
9,fr,21
10,to,21
7,fr,22
9,to,22
10,fr,23
13,to,23
1,fr,24
13,to,24
13,fr,25
15,to,25
13,fr,26
17,to,26
16,fr,27
17,to,27
17,fr,28
19,to,28
17,fr,29
25,to,29
12,fr,30
25,to,30
1,fr,31
25,to,31
20,fr,32
25,to,32
1,fr,33
21,to,33
21,fr,34
24,to,34
21,fr,35
22,to,35
27,fr,36
30,to,36
30,fr,37
31,to,37
26,fr,38
30,to,38
30,fr,39
34,to,39
33,fr,40
34,to,40
34,fr,41
35,to,41
32,fr,42
34,to,42
35,fr,43
38,to,43
26,fr,44
38,to,44
38,fr,45
40,to,45
38,fr,46
42,to,46
41,fr,47
42,to,47
42,fr,48
44,to,48
42,fr,49
50,to,49
37,fr,50
50,to,50
26,fr,51
50,to,51
45,fr,52
50,to,52
26,fr,53
46,to,53
46,fr,54
49,to,54
46,fr,55
47,to,55
52,fr,56
55,to,56
55,fr,57
56,to,57
51,fr,58
55,to,58
55,fr,59
59,to,59
58,fr,60
59,to,60
59,fr,61
60,to,61
57,fr,62
59,to,62
60,fr,63
63,to,63
51,fr,64
63,to,64
63,fr,65
65,to,65
63,fr,66
67,to,66
66,fr,67
67,to,67
67,fr,68
69,to,68
67,fr,69
75,to,69
62,fr,70
75,to,70
51,fr,71
75,to,71
70,fr,72
75,to,72
51,fr,73
71,to,73
71,fr,74
74,to,74
71,fr,75
72,to,75
77,fr,76
80,to,76
80,fr,77
81,to,77
76,fr,78
80,to,78
80,fr,79
84,to,79
83,fr,80
84,to,80
84,fr,81
85,to,81
82,fr,82
84,to,82
85,fr,83
88,to,83
76,fr,84
88,to,84
88,fr,85
90,to,85
88,fr,86
92,to,86
91,fr,87
92,to,87
92,fr,88
94,to,88
92,fr,89
100,to,89
87,fr,90
100,to,90
76,fr,91
100,to,91
95,fr,92
100,to,92
76,fr,93
96,to,93
96,fr,94
99,to,94
96,fr,95
97,to,95
102,fr,96
105,to,96
105,fr,97
106,to,97
101,fr,98
105,to,98
105,fr,99
109,to,99
108,fr,100
109,to,100
109,fr,101
110,to,101
107,fr,102
109,to,102
110,fr,103
113,to,103
101,fr,104
113,to,104
113,fr,105
115,to,105
113,fr,106
117,to,106
116,fr,107
117,to,107
117,fr,108
119,to,108
117,fr,109
125,to,109
112,fr,110
125,to,110
101,fr,111
125,to,111
120,fr,112
125,to,112
101,fr,113
121,to,113
121,fr,114
124,to,114
121,fr,115
122,to,115
127,fr,116
130,to,116
130,fr,117
131,to,117
126,fr,118
130,to,118
130,fr,119
134,to,119
133,fr,120
134,to,120
134,fr,121
135,to,121
132,fr,122
134,to,122
135,fr,123
138,to,123
126,fr,124
138,to,124
138,fr,125
140,to,125
138,fr,126
142,to,126
141,fr,127
142,to,127
142,fr,128
144,to,128
142,fr,129
150,to,129
137,fr,130
150,to,130
126,fr,131
150,to,131
145,fr,132
150,to,132
126,fr,133
146,to,133
146,fr,134
149,to,134
146,fr,135
147,to,135
3,fr,
4,to,
11,fr,
14,to,
18,fr,
23,to,
28,fr,
29,to,
36,fr,
39,to,
43,fr,
48,to,
53,fr,
54,to,
61,fr,
64,to,
68,fr,
73,to,
78,fr,
79,to,
86,fr,
89,to,
93,fr,
98,to,
103,fr,
104,to,
111,fr,
114,to,
118,fr,
123,to,
128,fr,
129,to,
136,fr,
139,to,
143,fr,
148,to,
