i,k,st,state_gen
1,ng,1,1
2,ng,1,1
3,ng,1,1
4,ng,1,1
5,ng,1,1
6,ng,1,1
7,ng,1,1
8,ng,1,1
9,ng,1,1
10,ng,1,1
11,ng,1,1
12,ng,1,1
13,ng,1,1
14,ng,1,1
15,ng,1,1
16,ng,1,1
17,ng,1,1
18,ng,1,1
19,ng,1,1
20,ng,1,1
21,ng,1,1
22,ng,1,1
23,ng,1,1
24,ng,1,1
25,ng,1,1
26,ng,1,1
27,ng,1,1
28,ng,1,1
29,ng,1,1
30,ng,1,1
31,ng,1,1
32,ng,1,1
33,ng,1,1
34,ng,1,1
35,ng,1,1
36,ng,1,1
37,ng,1,1
38,ng,1,1
39,ng,1,1
40,ng,1,1
41,ng,1,1
42,ng,1,1
43,ng,1,1
44,ng,1,1
45,ng,1,1
46,ng,1,1
47,ng,1,1
48,ng,1,1
49,ng,1,1
50,ng,1,1
51,ng,1,1
52,ng,1,1
53,ng,1,1
54,ng,1,1
55,ng,1,1
56,ng,1,1
57,ng,1,1
58,ng,1,1
59,ng,1,1
60,ng,1,1
61,ng,1,1
62,ng,1,1
63,ng,1,1
64,ng,1,1
65,ng,1,1
66,ng,1,1
67,ng,1,1
68,ng,1,1
69,ng,1,1
70,ng,1,1
71,ng,1,1
72,ng,1,1
73,ng,1,1
74,ng,1,1
75,ng,1,1
76,ng,1,1
77,ng,1,1
78,ng,1,1
79,ng,1,1
80,ng,1,1
81,ng,1,1
82,ng,1,1
83,ng,1,1
84,ng,1,1
85,ng,1,1
86,ng,1,1
87,ng,1,1
88,ng,1,1
89,ng,1,1
90,ng,1,1
91,ng,1,1
92,ng,1,1
93,ng,1,1
94,ng,1,1
95,ng,1,1
96,ng,1,1
97,ng,1,1
98,ng,1,1
99,ng,1,1
100,ng,1,1
101,ng,1,1
102,ng,1,1
103,ng,1,1
104,ng,1,1
105,ng,1,1
106,ng,1,1
107,ng,1,1
108,ng,1,1
109,ng,1,1
110,ng,1,1
111,ng,1,1
112,ng,1,1
113,ng,1,1
114,ng,1,1
115,ng,1,1
116,ng,1,1
117,ng,1,1
118,ng,1,1
119,ng,1,1
120,ng,1,1
121,ng,1,1
122,ng,1,1
123,ng,1,1
124,ng,1,1
125,ng,1,1
126,ng,1,1
127,ng,1,1
128,ng,1,1
129,ng,1,1
130,ng,1,1
131,ng,1,1
132,ng,1,1
133,ng,1,1
134,ng,1,1
135,ng,1,1
136,ng,1,1
137,ng,1,1
138,ng,1,1
139,ng,1,1
140,ng,1,1
141,ng,1,1
142,ng,1,1
143,ng,1,1
144,ng,1,1
145,ng,1,1
146,ng,1,1
147,ng,1,1
148,ng,1,1
149,ng,1,1
150,ng,1,1
1,ng,2,0
2,ng,2,1
3,ng,2,1
4,ng,2,1
5,ng,2,1
6,ng,2,1
7,ng,2,1
8,ng,2,1
9,ng,2,1
10,ng,2,1
11,ng,2,1
12,ng,2,1
13,ng,2,1
14,ng,2,1
15,ng,2,1
16,ng,2,1
17,ng,2,1
18,ng,2,1
19,ng,2,1
