sc,sc_rate
0,0.01235
1,0.01235
2,0.01235
3,0.01235
4,0.01235
5,0.01235
6,0.01235
7,0.01235
8,0.01235
9,0.01235
10,0.01235
11,0.01235
12,0.01235
13,0.01235
14,0.01235
15,0.01235
16,0.01235
17,0.01235
18,0.01235
19,0.01235
20,0.01235
21,0.01235
22,0.01235
23,0.01235
24,0.01235
25,0.01235
26,0.01235
27,0.01235
28,0.01235
29,0.01235
30,0.01235
31,0.01235
32,0.01235
33,0.01235
34,0.01235
35,0.01235
36,0.01235
37,0.01235
38,0.01235
39,0.01235
40,0.01235
41,0.01235
42,0.01235
43,0.01235
44,0.01235
45,0.01235
46,0.01235
47,0.01235
48,0.01235
49,0.01235
50,0.01235
51,0.01235
52,0.01235
53,0.01235
54,0.01235
55,0.01235
56,0.01235
57,0.01235
58,0.01235
59,0.01235
60,0.01235
61,0.01235
62,0.01235
63,0.01235
64,0.01235
65,0.01235
66,0.01235
67,0.01235
68,0.01235
69,0.01235
70,0.01235
71,0.01235
72,0.01235
73,0.01235
74,0.01235
75,0.01235
76,0.01235
77,0.01235
78,0.01235
79,0.01235
80,0.01235
