i,t,n,b,CPF
1,1,1,1,0.364
1,1,1,2,0.713
1,1,1,3,0.645
1,1,1,4,0.8
1,1,2,1,0.181
1,1,2,2,0.529
1,1,2,3,0.357
1,1,2,4,0.284
1,2,1,1,0.253
1,2,1,2,0.168
1,2,1,3,0.46
1,2,1,4,0.496
1,2,2,1,0.35
1,2,2,2,0.579
1,2,2,3,0.324
1,2,2,4,0.708
2,1,1,1,0.23
2,1,1,2,0.721
2,1,1,3,0.755
2,1,1,4,0.443
2,1,2,1,0.367
2,1,2,2,0.699
2,1,2,3,0.751
2,1,2,4,0.105
2,2,1,1,0.784
2,2,1,2,0.466
2,2,1,3,0.112
2,2,1,4,0.309
2,2,2,1,0.628
2,2,2,2,0.632
2,2,2,3,0.149
2,2,2,4,0.752
3,1,1,1,0.243
3,1,1,2,0.248
3,1,1,3,0.486
3,1,1,4,0.358
3,1,2,1,0.566
3,1,2,2,0.141
3,1,2,3,0.772
3,1,2,4,0.607
3,2,1,1,0.722
3,2,1,2,0.282
3,2,1,3,0.779
3,2,1,4,0.331
3,2,2,1,0.366
3,2,2,2,0.757
3,2,2,3,0.653
3,2,2,4,0.251
4,1,1,1,0.484
4,1,1,2,0.626
4,1,1,3,0.772
4,1,1,4,0.371
4,1,2,1,0.347
4,1,2,2,0.369
4,1,2,3,0.317
4,1,2,4,0.704
4,2,1,1,0.631
4,2,1,2,0.268
4,2,1,3,0.36
4,2,1,4,0.659
4,2,2,1,0.252
4,2,2,2,0.5
4,2,2,3,0.547
4,2,2,4,0.546
5,1,1,1,0.39
5,1,1,2,0.408
5,1,1,3,0.433
5,1,1,4,0.543
5,1,2,1,0.462
5,1,2,2,0.629
5,1,2,3,0.134
5,1,2,4,0.525
5,2,1,1,0.341
5,2,1,2,0.619
5,2,1,3,0.769
5,2,1,4,0.755
5,2,2,1,0.56
5,2,2,2,0.521
5,2,2,3,0.13
5,2,2,4,0.722
6,1,1,1,0.437
6,1,1,2,0.465
6,1,1,3,0.793
6,1,1,4,0.759
6,1,2,1,0.491
6,1,2,2,0.159
6,1,2,3,0.409
6,1,2,4,0.539
6,2,1,1,0.377
6,2,1,2,0.448
6,2,1,3,0.624
6,2,1,4,0.715
6,2,2,1,0.32
6,2,2,2,0.186
6,2,2,3,0.413
6,2,2,4,0.692
7,1,1,1,0.743
7,1,1,2,0.636
7,1,1,3,0.134
7,1,1,4,0.121
7,1,2,1,0.266
7,1,2,2,0.748
7,1,2,3,0.511
7,1,2,4,0.298
7,2,1,1,0.281
7,2,1,2,0.757
7,2,1,3,0.666
7,2,1,4,0.794
7,2,2,1,0.697
7,2,2,2,0.385
7,2,2,3,0.414
7,2,2,4,0.445
8,1,1,1,0.295
8,1,1,2,0.769
8,1,1,3,0.425
8,1,1,4,0.448
8,1,2,1,0.585
8,1,2,2,0.194
8,1,2,3,0.28
8,1,2,4,0.378
8,2,1,1,0.231
8,2,1,2,0.702
8,2,1,3,0.553
8,2,1,4,0.777
8,2,2,1,0.265
8,2,2,2,0.782
8,2,2,3,0.572
8,2,2,4,0.72
9,1,1,1,0.283
9,1,1,2,0.395
9,1,1,3,0.26
9,1,1,4,0.272
9,1,2,1,0.76
9,1,2,2,0.178
9,1,2,3,0.312
9,1,2,4,0.193
9,2,1,1,0.17
9,2,1,2,0.139
9,2,1,3,0.244
9,2,1,4,0.446
9,2,2,1,0.213
9,2,2,2,0.537
9,2,2,3,0.767
9,2,2,4,0.435
10,1,1,1,0.373
10,1,1,2,0.18
10,1,1,3,0.199
10,1,1,4,0.576
10,1,2,1,0.219
10,1,2,2,0.719
10,1,2,3,0.125
10,1,2,4,0.444
10,2,1,1,0.589
10,2,1,2,0.4
10,2,1,3,0.458
10,2,1,4,0.637
10,2,2,1,0.266
10,2,2,2,0.142
10,2,2,3,0.561
10,2,2,4,0.12
11,1,1,1,0.198
11,1,1,2,0.307
11,1,1,3,0.209
11,1,1,4,0.27
11,1,2,1,0.293
11,1,2,2,0.303
11,1,2,3,0.703
11,1,2,4,0.722
11,2,1,1,0.652
11,2,1,2,0.561
11,2,1,3,0.604
11,2,1,4,0.114
11,2,2,1,0.155
11,2,2,2,0.752
11,2,2,3,0.668
11,2,2,4,0.507
12,1,1,1,0.362
12,1,1,2,0.599
12,1,1,3,0.296
12,1,1,4,0.249
12,1,2,1,0.139
12,1,2,2,0.435
12,1,2,3,0.715
12,1,2,4,0.629
12,2,1,1,0.494
12,2,1,2,0.268
12,2,1,3,0.799
12,2,1,4,0.364
12,2,2,1,0.442
12,2,2,2,0.625
12,2,2,3,0.641
12,2,2,4,0.511
13,1,1,1,0.662
13,1,1,2,0.101
13,1,1,3,0.662
13,1,1,4,0.532
13,1,2,1,0.264
13,1,2,2,0.569
13,1,2,3,0.747
13,1,2,4,0.741
13,2,1,1,0.242
13,2,1,2,0.186
13,2,1,3,0.461
13,2,1,4,0.652
13,2,2,1,0.407
13,2,2,2,0.76
13,2,2,3,0.176
13,2,2,4,0.767
14,1,1,1,0.202
14,1,1,2,0.5
14,1,1,3,0.357
14,1,1,4,0.403
14,1,2,1,0.464
14,1,2,2,0.382
14,1,2,3,0.749
14,1,2,4,0.349
14,2,1,1,0.436
14,2,1,2,0.284
14,2,1,3,0.434
14,2,1,4,0.183
14,2,2,1,0.515
14,2,2,2,0.134
14,2,2,3,0.618
14,2,2,4,0.459
15,1,1,1,0.742
15,1,1,2,0.484
15,1,1,3,0.517
15,1,1,4,0.747
15,1,2,1,0.644
15,1,2,2,0.474
15,1,2,3,0.28
15,1,2,4,0.792
15,2,1,1,0.673
15,2,1,2,0.726
15,2,1,3,0.12
15,2,1,4,0.326
15,2,2,1,0.475
15,2,2,2,0.356
15,2,2,3,0.7
15,2,2,4,0.525
16,1,1,1,0.532
16,1,1,2,0.43
16,1,1,3,0.749
16,1,1,4,0.65
16,1,2,1,0.684
16,1,2,2,0.461
16,1,2,3,0.437
16,1,2,4,0.499
16,2,1,1,0.692
16,2,1,2,0.351
16,2,1,3,0.439
16,2,1,4,0.283
16,2,2,1,0.345
16,2,2,2,0.189
16,2,2,3,0.42
16,2,2,4,0.704
17,1,1,1,0.659
17,1,1,2,0.221
17,1,1,3,0.172
17,1,1,4,0.368
17,1,2,1,0.348
17,1,2,2,0.477
17,1,2,3,0.203
17,1,2,4,0.186
17,2,1,1,0.131
17,2,1,2,0.607
17,2,1,3,0.325
17,2,1,4,0.434
17,2,2,1,0.731
17,2,2,2,0.391
17,2,2,3,0.642
17,2,2,4,0.661
18,1,1,1,0.301
18,1,1,2,0.782
18,1,1,3,0.363
18,1,1,4,0.666
18,1,2,1,0.529
18,1,2,2,0.395
18,1,2,3,0.761
18,1,2,4,0.317
18,2,1,1,0.432
18,2,1,2,0.283
18,2,1,3,0.337
18,2,1,4,0.478
18,2,2,1,0.162
18,2,2,2,0.641
18,2,2,3,0.71
18,2,2,4,0.441
19,1,1,1,0.788
19,1,1,2,0.664
19,1,1,3,0.343
19,1,1,4,0.789
19,1,2,1,0.17
19,1,2,2,0.54
19,1,2,3,0.691
19,1,2,4,0.178
19,2,1,1,0.151
19,2,1,2,0.281
19,2,1,3,0.331
19,2,1,4,0.606
19,2,2,1,0.631
19,2,2,2,0.673
19,2,2,3,0.32
19,2,2,4,0.387
20,1,1,1,0.685
20,1,1,2,0.609
20,1,1,3,0.237
20,1,1,4,0.643
20,1,2,1,0.521
20,1,2,2,0.397
20,1,2,3,0.207
20,1,2,4,0.111
20,2,1,1,0.137
20,2,1,2,0.486
20,2,1,3,0.179
20,2,1,4,0.54
20,2,2,1,0.247
20,2,2,2,0.247
20,2,2,3,0.732
20,2,2,4,0.303
21,1,1,1,0.782
21,1,1,2,0.329
21,1,1,3,0.763
21,1,1,4,0.629
21,1,2,1,0.563
21,1,2,2,0.749
21,1,2,3,0.357
21,1,2,4,0.334
21,2,1,1,0.314
21,2,1,2,0.261
21,2,1,3,0.657
21,2,1,4,0.107
21,2,2,1,0.455
21,2,2,2,0.153
21,2,2,3,0.383
21,2,2,4,0.724
22,1,1,1,0.506
22,1,1,2,0.177
22,1,1,3,0.603
22,1,1,4,0.712
