node,direction,line
1,fr,1
26,to,1
1,fr,2
51,to,2
1,fr,3
76,to,3
26,fr,4
51,to,4
26,fr,5
76,to,5
51,fr,6
76,to,6
2,fr,7
5,to,7
5,fr,8
6,to,8
1,fr,9
5,to,9
5,fr,10
9,to,10
8,fr,11
9,to,11
9,fr,12
10,to,12
7,fr,13
9,to,13
10,fr,14
13,to,14
1,fr,15
13,to,15
13,fr,16
15,to,16
13,fr,17
17,to,17
16,fr,18
17,to,18
17,fr,19
19,to,19
17,fr,20
25,to,20
12,fr,21
25,to,21
1,fr,22
25,to,22
20,fr,23
25,to,23
1,fr,24
21,to,24
21,fr,25
24,to,25
21,fr,26
22,to,26
27,fr,27
30,to,27
30,fr,28
31,to,28
26,fr,29
30,to,29
30,fr,30
34,to,30
33,fr,31
34,to,31
34,fr,32
35,to,32
32,fr,33
34,to,33
35,fr,34
38,to,34
26,fr,35
38,to,35
38,fr,36
40,to,36
38,fr,37
42,to,37
41,fr,38
42,to,38
42,fr,39
44,to,39
42,fr,40
50,to,40
37,fr,41
50,to,41
26,fr,42
50,to,42
45,fr,43
50,to,43
26,fr,44
46,to,44
46,fr,45
49,to,45
46,fr,46
47,to,46
52,fr,47
55,to,47
55,fr,48
56,to,48
51,fr,49
55,to,49
55,fr,50
59,to,50
58,fr,51
59,to,51
59,fr,52
60,to,52
57,fr,53
59,to,53
60,fr,54
63,to,54
51,fr,55
63,to,55
63,fr,56
65,to,56
63,fr,57
67,to,57
66,fr,58
67,to,58
67,fr,59
69,to,59
67,fr,60
75,to,60
62,fr,61
75,to,61
51,fr,62
75,to,62
70,fr,63
75,to,63
51,fr,64
71,to,64
71,fr,65
74,to,65
71,fr,66
72,to,66
77,fr,67
80,to,67
80,fr,68
81,to,68
76,fr,69
80,to,69
80,fr,70
84,to,70
83,fr,71
84,to,71
84,fr,72
85,to,72
82,fr,73
84,to,73
85,fr,74
88,to,74
76,fr,75
88,to,75
88,fr,76
90,to,76
88,fr,77
92,to,77
91,fr,78
92,to,78
92,fr,79
94,to,79
92,fr,80
100,to,80
87,fr,81
100,to,81
76,fr,82
100,to,82
95,fr,83
100,to,83
76,fr,84
96,to,84
96,fr,85
99,to,85
96,fr,86
97,to,86
3,fr,
4,to,
11,fr,
14,to,
18,fr,
23,to,
28,fr,
29,to,
36,fr,
39,to,
43,fr,
48,to,
53,fr,
54,to,
61,fr,
64,to,
68,fr,
73,to,
78,fr,
79,to,
86,fr,
89,to,
93,fr,
98,to,
