sc,sc_rate
0,0.009
1,0.009
2,0.009
3,0.009
4,0.009
5,0.009
6,0.009
7,0.009
8,0.009
9,0.009
10,0.009
11,0.009
12,0.009
13,0.009
14,0.009
15,0.009
16,0.009
17,0.009
18,0.009
19,0.009
20,0.009
21,0.009
22,0.009
23,0.009
24,0.009
25,0.009
26,0.009
27,0.009
28,0.009
29,0.009
30,0.009
31,0.009
32,0.009
33,0.009
34,0.009
35,0.009
36,0.009
37,0.009
38,0.009
39,0.009
40,0.009
41,0.009
42,0.009
43,0.009
44,0.009
45,0.009
46,0.009
47,0.009
48,0.009
49,0.009
50,0.009
51,0.009
52,0.009
53,0.009
54,0.009
55,0.009
56,0.009
57,0.009
58,0.009
59,0.009
60,0.009
61,0.009
62,0.009
63,0.009
64,0.009
65,0.009
66,0.009
67,0.009
68,0.009
69,0.009
70,0.009
71,0.009
72,0.009
73,0.009
74,0.009
75,0.009
76,0.009
77,0.009
78,0.009
79,0.009
80,0.009
81,0.009
82,0.009
83,0.009
84,0.009
85,0.009
86,0.009
87,0.009
88,0.009
89,0.009
90,0.009
91,0.009
92,0.009
93,0.009
94,0.009
95,0.009
96,0.009
97,0.009
98,0.009
99,0.009
100,0.009
101,0.009
102,0.009
103,0.009
104,0.009
105,0.009
106,0.009
107,0.009
108,0.009
109,0.009
110,0.009
111,0.009
112,0.009
