st,prob
1,0.0199
2,0.0195
3,0.0191
4,0.0188
5,0.0184
6,0.018
7,0.0177
8,0.0173
9,0.017
10,0.0166
11,0.0163
12,0.016
13,0.0157
14,0.0154
15,0.0151
16,0.0148
17,0.0145
18,0.0142
19,0.0139
20,0.0136
21,0.0134
22,0.0131
23,0.0128
24,0.0126
25,0.0123
26,0.0121
27,0.0118
28,0.0116
29,0.0114
30,0.0112
31,0.0109
32,0.0107
33,0.0105
34,0.0103
35,0.0101
36,0.0099
37,0.0097
38,0.0095
39,0.0093
40,0.0091
41,0.009
42,0.0088
43,0.0086
44,0.0084
45,0.0083
46,0.0081
47,0.0079
48,0.0078
49,0.0076
50,0.0075
51,0.0073
52,0.0072
53,0.007
54,0.0069
55,0.0068
56,0.0066
57,0.0065
58,0.0064
59,0.0062
60,0.0061
61,0.006
62,0.0059
63,0.0058
64,0.0057
65,0.0055
66,0.0054
67,0.0053
68,0.0052
69,0.0051
70,0.005
71,0.0049
72,0.0048
73,0.0047
74,0.0046
75,0.0045
76,0.0044
77,0.0044
78,0.0043
79,0.0042
80,0.0041
81,0.004
82,0.0039
83,0.0039
84,0.0038
85,0.0037
86,0.0036
87,0.0036
88,0.0035
89,0.0034
90,0.0034
91,0.0033
92,0.0032
93,0.0032
94,0.0031
95,0.003
96,0.003
97,0.0029
98,0.0029
99,0.0028
100,0.0028
101,0.0027
102,0.0026
103,0.0026
104,0.0025
105,0.0025
106,0.0024
107,0.0024
108,0.0023
109,0.0023
110,0.0023
111,0.0022
112,0.0022
113,0.0021
114,0.0021
115,0.002
116,0.002
117,0.002
118,0.0019
119,0.0019
120,0.0018
121,0.0018
122,0.0018
123,0.0017
124,0.0017
125,0.0017
126,0.0016
127,0.0016
128,0.0016
129,0.0015
130,0.0015
131,0.0015
132,0.0015
133,0.0014
134,0.0014
135,0.0014
136,0.0013
137,0.0013
138,0.0013
139,0.0013
140,0.0012
141,0.0012
142,0.0012
143,0.0012
144,0.0011
145,0.0011
146,0.0011
147,0.0011
148,0.0011
149,0.001
150,0.001
151,0.001
152,0.001
153,0.001
154,0.0009
155,0.0009
156,0.0009
157,0.0009
158,0.0009
159,0.0008
160,0.0008
161,0.0008
162,0.0008
163,0.0008
164,0.0008
165,0.0007
166,0.0007
167,0.0007
168,0.0007
169,0.0007
170,0.0007
171,0.0007
172,0.0007
173,0.0006
174,0.0006
175,0.0006
176,0.0006
177,0.0006
178,0.0006
179,0.0006
180,0.0006
181,0.0005
182,0.0005
183,0.0005
184,0.0005
185,0.0005
186,0.0005
187,0.0005
188,0.0005
189,0.0005
190,0.0005
191,0.0004
192,0.0004
193,0.0004
194,0.0004
195,0.0004
196,0.0004
197,0.0004
198,0.0004
199,0.0004
200,0.0004
201,0.0004
202,0.0004
203,0.0004
204,0.0003
205,0.0003
206,0.0003
207,0.0003
208,0.0003
209,0.0003
210,0.0003
211,0.0003
212,0.0003
213,0.0003
214,0.0003
215,0.0003
216,0.0003
217,0.0003
218,0.0003
219,0.0003
220,0.0002
221,0.0002
222,0.0002
223,0.0002
224,0.0002
225,0.0002
226,0.0002
227,0.0002
228,0.0002
229,0.0002
230,0.0002
231,0.0002
232,0.0002
233,0.0002
234,0.0002
235,0.0002
236,0.0002
237,0.0002
238,0.0002
239,0.0002
240,0.0002
241,0.0002
242,0.0002
243,0.0002
244,0.0002
245,0.0002
246,0.0001
247,0.0001
248,0.0001
249,0.0001
250,0.0001
251,0.0001
252,0.0001
253,0.0001
254,0.0001
255,0.0001
256,0.0001
